Ordered	Lumber	(null)	Box	All
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
11	2	0	0	2
11	1	0	1	2
11	0	0	2	2
12	0	0	2	2
13	0	0	2	2
12	2	0	0	2
12	1	0	1	2
12	0	0	2	2
13	0	0	2	2
14	0	0	2	2
13	2	0	0	2
13	1	0	1	2
13	0	0	2	2
14	0	0	2	2
15	2	0	0	2
13	1	0	1	2
13	0	0	2	2
14	0	0	2	2
15	0	0	2	2
16	2	0	0	2
14	1	0	1	2
14	0	0	2	2
15	0	0	2	2
16	0	0	2	2
17	0	0	2	2
16	2	0	0	2
16	1	0	1	2
16	0	0	2	2
17	0	0	2	2
18	0	0	2	2
17	2	0	0	2
17	1	0	0	1
17	0	0	1	1
18	0	0	1	1
19	0	0	1	1
18	2	0	0	2
18	1	0	0	1
